Year,Island,Landfill gas,Photovoltaic,Wind,Coal,Bagasse 
2010,Island of Mauritius, -   , -   , -   ,967,342.8
2011,Island of Mauritius,3.1, -   , -   ,981,352.6
2012,Island of Mauritius,17.8,0.3,0,1021,344
2013,Island of Mauritius,20,1.2,0,1067,346.5
2014,Island of Mauritius,21.3,22.6, -   ,1125,334.5
2015,Island of Mauritius,20.4,23.7, -   ,1047,381.2
2016,Island of Mauritius,18.7,26.2,14.5,1135,368.4
2017,Island of Mauritius,16.9,34.2,11.9,1176,337.7
2018,Island of Mauritius,22.6,42.8,12.6,1124,311.8
2019,Island of Mauritius,19.8,118.9,12.9,1053,323
2020,Island of Mauritius,24.8,134.9,15.1,1015,281.7
2021,Island of Mauritius,19,136.4,12.5,1130,250.9
2022,Island of Mauritius,17.2,132.8,13.6,891.6,186.4
2010,Island of Rodrigues, -   , -   , -   , -   , -   
2011,Island of Rodrigues, -   , -   , -   , -   , -   
2012,Island of Rodrigues, -   , -   , -   , -   , -   
2013,Island of Rodrigues, -   ,0, -   , -   , -   
2014,Island of Rodrigues, -   ,0.1, -   , -   , -   
2015,Island of Rodrigues, -   ,0.1, -   , -   , -   
2016,Island of Rodrigues, -   ,0.2, -   , -   , -   
2017,Island of Rodrigues, -   ,0.2, -   , -   , -   
2018,Island of Rodrigues, -   ,0.2, -   , -   , -   
2019,Island of Rodrigues, -   ,0.3, -   , -   , -   
2020,Island of Rodrigues, -   ,0.4, -   , -   , -   
2021,Island of Rodrigues, -   ,0.4, -   , -   , -   
2022,Island of Rodrigues, -   ,0.4, -   , -   , -   
