"item_code","element_code","date_id","value","flag","note"
1107,5111,3,60,"I",""
1107,5111,381,60,"E",""
1107,5111,760,60,"I",""
1107,5111,1138,60,"I",""
1107,5111,1516,60,"I",""
1107,5111,1894,60,"I",""
1107,5111,2273,60,"I",""
1107,5111,2651,60,"I",""
486,5312,3,470,"A",""
486,5312,381,459,"A",""
486,5312,760,507,"A",""
486,5312,1138,492,"A",""
486,5312,1516,508,"A",""
486,5312,1894,486,"A",""
486,5312,2273,599,"A",""
486,5312,2651,633,"A",""
486,5412,3,16954.9,"A",""
486,5412,381,16834.8,"A",""
486,5412,760,17049.3,"A",""
486,5412,1138,14904.5,"A",""
486,5412,1516,14303.1,"A",""
486,5412,1894,16362.1,"A",""
486,5412,2273,16090.2,"A",""
486,5412,2651,15527.6,"A",""
486,5510,3,7965.4,"A",""
486,5510,381,7731.23,"A",""
486,5510,760,8644,"A",""
486,5510,1138,7333,"A",""
486,5510,1516,7266,"A",""
486,5510,1894,7952,"A",""
486,5510,2273,9638,"A",""
486,5510,2651,9829,"A",""
51,5510,3,30200,"X","Unofficial figure"
51,5510,381,38600,"X","Unofficial figure"
51,5510,760,41461,"A",""
51,5510,1138,47479,"A",""
51,5510,1516,49777,"A",""
51,5510,1894,44625,"A",""
51,5510,2273,44173,"A",""
51,5510,2651,47191,"A",""
946,5111,3,25,"I",""
946,5111,381,25,"I",""
946,5111,760,25,"I",""
946,5111,1138,25,"I",""
946,5111,1516,25,"I",""
946,5111,1894,25,"I",""
946,5111,2273,25,"I",""
946,5111,2651,25,"I",""
899,5510,3,2.89,"I",""
899,5510,381,4.61,"I",""
899,5510,760,4,"I",""
899,5510,1138,1.41,"I",""
899,5510,1516,0.6,"I",""
899,5510,1894,0.86,"I",""
899,5510,2273,0.59,"I",""
899,5510,2651,11.44,"I",""
358,5312,3,240,"A",""
358,5312,381,253,"A",""
358,5312,760,256,"A",""
358,5312,1138,235,"A",""
358,5312,1516,238,"A",""
358,5312,1894,286,"A",""
358,5312,2273,270,"A",""
358,5312,2651,313,"A",""
358,5412,3,16125,"A",""
358,5412,381,18415,"A",""
358,5412,760,18668,"A",""
358,5412,1138,15497.9,"A",""
358,5412,1516,14609.2,"A",""
358,5412,1894,14014,"A",""
358,5412,2273,13085.2,"A",""
358,5412,2651,18929.7,"A",""
358,5510,3,3870,"A",""
358,5510,381,4659,"A",""
358,5510,760,4779,"A",""
358,5510,1138,3642,"A",""
358,5510,1516,3477,"A",""
358,5510,1894,4008,"A",""
358,5510,2273,3533,"A",""
358,5510,2651,5925,"A",""
426,5312,3,309,"A",""
426,5312,381,298,"A",""
