"item_code","item"
1107,"Asses"
486,"Bananas"
51,"Beer of barley, malted"
946,"Buffalo"
899,"Buttermilk, dry"
358,"Cabbages"
426,"Carrots and turnips"
125,"Cassava, fresh"
866,"Cattle"
869,"Cattle fat, unrendered"
393,"Cauliflowers and broccoli"
1057,"Chickens"
401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)"
252,"Coconut oil"
249,"Coconuts, in shell"
397,"Cucumbers and gherkins"
1068,"Ducks"
868,"Edible offal of cattle, fresh, chilled or frozen"
1018,"Edible offal of goat, fresh, chilled or frozen"
1036,"Edible offal of pigs, fresh, chilled or frozen"
978,"Edible offal of sheep, fresh, chilled or frozen"
399,"Eggplants (aubergines)"
1037,"Fat of pigs"
1163,"Game meat, fresh, chilled or frozen"
1072,"Geese"
720,"Ginger, raw"
1019,"Goat fat, unrendered"
1016,"Goats"
446,"Green corn (maize)"
406,"Green garlic"
675,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg"
244,"Groundnut oil"
242,"Groundnuts, excluding shelled"
1062,"Hen eggs in shell, fresh"
1096,"Horses"
407,"Leeks and other alliaceous vegetables"
372,"Lettuce and chicory"
56,"Maize (corn)"
1242,"Margarine and shortening"
867,"Meat of cattle with the bone, fresh or chilled"
1058,"Meat of chickens, fresh or chilled"
1069,"Meat of ducks, fresh or chilled"
1073,"Meat of geese, fresh or chilled"
1017,"Meat of goat, fresh or chilled"
1035,"Meat of pig with the bone, fresh or chilled"
1141,"Meat of rabbits and hares, fresh or chilled"
977,"Meat of sheep, fresh or chilled"
1080,"Meat of turkeys, fresh or chilled"
165,"Molasses"
1110,"Mules and hinnies"
334,"Oil of linseed"
430,"Okra"
403,"Onions and shallots, dry (excluding dehydrated)"
414,"Other beans, green"
512,"Other citrus fruit, n.e.c."
821,"Other fibre crops, raw, n.e.c."
619,"Other fruits, n.e.c."
723,"Other stimulant, spice and aromatic crops, n.e.c."
463,"Other vegetables, fresh n.e.c."
417,"Peas, green"
574,"Pineapples"
223,"Pistachios, in shell"
116,"Potatoes"
394,"Pumpkins, squash and gourds"
1140,"Rabbits and hares"
162,"Raw cane or beet sugar (centrifugal only)"
919,"Raw hides and skins of cattle"
1025,"Raw hides and skins of goats or kids"
995,"Raw hides and skins of sheep or lambs"
882,"Raw milk of cattle"
27,"Rice"
976,"Sheep"
979,"Sheep fat, unrendered"
156,"Sugar cane"
122,"Sweet potatoes"
1034,"Swine / pigs"
136,"Taro"
667,"Tea leaves"
388,"Tomatoes"
1079,"Turkeys"
826,"Unmanufactured tobacco"
564,"Wine"
1806,"Beef and Buffalo Meat, primary"
1746,"Cattle and Buffaloes"
1717,"Cereals, primary"
1804,"Citrus Fruit, Total"
1783,"Eggs Primary"
17530,"Fibre Crops, Fibre Equivalent"
1738,"Fruit Primary"
1808,"Meat, Poultry"
1765,"Meat, Total"
1780,"Milk, Total"
1841,"Oilcrops, Cake Equivalent"
1732,"Oilcrops, Oil Equivalent"
2029,"Poultry Birds"
1720,"Roots and Tubers, Total"
1807,"Sheep and Goat Meat"
1749,"Sheep and Goats"
1809,"Skim Milk & Buttermilk, Dry"
1723,"Sugar Crops Primary"
1729,"Treenuts, Total"
1735,"Vegetables Primary"
