"area_code","area_code_m49","area","item_code","item_code_cpc","item","element_code","element","year_code","year","unit","value","flag","note"
137,"'480","Mauritius",1107,"'02132","Asses",5111,"Stocks",2015,2015,"An",60,"I",""
137,"'480","Mauritius",1107,"'02132","Asses",5111,"Stocks",2016,2016,"An",60,"E",""
137,"'480","Mauritius",1107,"'02132","Asses",5111,"Stocks",2017,2017,"An",60,"I",""
137,"'480","Mauritius",1107,"'02132","Asses",5111,"Stocks",2018,2018,"An",60,"I",""
137,"'480","Mauritius",1107,"'02132","Asses",5111,"Stocks",2019,2019,"An",60,"I",""
137,"'480","Mauritius",1107,"'02132","Asses",5111,"Stocks",2020,2020,"An",60,"I",""
137,"'480","Mauritius",1107,"'02132","Asses",5111,"Stocks",2021,2021,"An",60,"I",""
137,"'480","Mauritius",1107,"'02132","Asses",5111,"Stocks",2022,2022,"An",60,"I",""
137,"'480","Mauritius",486,"'01312","Bananas",5312,"Area harvested",2015,2015,"ha",470,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5312,"Area harvested",2016,2016,"ha",459,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5312,"Area harvested",2017,2017,"ha",507,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5312,"Area harvested",2018,2018,"ha",492,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5312,"Area harvested",2019,2019,"ha",508,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5312,"Area harvested",2020,2020,"ha",486,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5312,"Area harvested",2021,2021,"ha",599,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5312,"Area harvested",2022,2022,"ha",633,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5412,"Yield",2015,2015,"kg/ha",16954.9,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5412,"Yield",2016,2016,"kg/ha",16834.8,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5412,"Yield",2017,2017,"kg/ha",17049.3,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5412,"Yield",2018,2018,"kg/ha",14904.5,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5412,"Yield",2019,2019,"kg/ha",14303.1,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5412,"Yield",2020,2020,"kg/ha",16362.1,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5412,"Yield",2021,2021,"kg/ha",16090.2,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5412,"Yield",2022,2022,"kg/ha",15527.6,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5510,"Production",2015,2015,"t",7965.4,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5510,"Production",2016,2016,"t",7731.23,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5510,"Production",2017,2017,"t",8644,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5510,"Production",2018,2018,"t",7333,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5510,"Production",2019,2019,"t",7266,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5510,"Production",2020,2020,"t",7952,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5510,"Production",2021,2021,"t",9638,"A",""
137,"'480","Mauritius",486,"'01312","Bananas",5510,"Production",2022,2022,"t",9829,"A",""
137,"'480","Mauritius",51,"'24310.01","Beer of barley, malted",5510,"Production",2015,2015,"t",30200,"X","Unofficial figure"
137,"'480","Mauritius",51,"'24310.01","Beer of barley, malted",5510,"Production",2016,2016,"t",38600,"X","Unofficial figure"
137,"'480","Mauritius",51,"'24310.01","Beer of barley, malted",5510,"Production",2017,2017,"t",41461,"A",""
137,"'480","Mauritius",51,"'24310.01","Beer of barley, malted",5510,"Production",2018,2018,"t",47479,"A",""
137,"'480","Mauritius",51,"'24310.01","Beer of barley, malted",5510,"Production",2019,2019,"t",49777,"A",""
137,"'480","Mauritius",51,"'24310.01","Beer of barley, malted",5510,"Production",2020,2020,"t",44625,"A",""
