# A tibble: 24 × 2
    hour trip_count
   <int>      <int>
 1     0     152434
 2     1     151522
 3     2     133395
 4     3      99701
 5     4      71032
 6     5      46537
 7     6      32906
 8     7      21232
 9     8      13266
10     9      16100
11    10      36398
12    11      75917
13    12     107401
14    13     121958
15    14     132915
16    15     144350
17    16     157097
18    17     162803
19    18     175114
20    19     180949
21    20     182296
22    21     195327
23    22     200136
24    23     174281
